ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
94549,321.7%,$,"1 ,871,932,446",92.7%,$,"4 43,907,297",36.8%,$,"2 30,315,946",145.1%,$,"1 68,359,620",$,"6 8,688,144"
94553,310.5%,$,"4 02,269,248",150.3%,$,"9 7,996,411",67.3%,$,"3 9,157,894",56.1%,$,"2 3,403,285",$,"1 4,994,931"
94556,515.0%,$,"5 22,671,241",155.1%,$,"8 4,980,822",24.1%,$,"3 3,311,974",91.0%,$,"2 6,843,796",$,"1 4,056,073"
94561,87.7%,$,"3 0,229,666",12.9%,$,"1 6,103,977",-15.6%,$,"1 4,261,202",13.3%,$,"1 6,887,323",$,"1 4,907,943"
94563,335.3%,$,"2 ,336,131,573",54.5%,$,"5 36,647,616",67.7%,$,"3 47,392,013",108.7%,$,"2 07,185,521",$,"9 9,290,732"
94564,373.8%,$,"7 0,286,069",359.7%,$,"1 4,833,270",-18.3%,$,"3 ,227,046",22.9%,$,"3 ,948,224",$,"3 ,213,603"
94565,194.8%,$,"1 00,425,943",88.1%,$,"3 4,060,463",-24.1%,$,"1 8,107,253",5.1%,$,"2 3,847,143",$,"2 2,679,225"
94569,51.5%,$,"1 0,223,518",85.7%,$,"6 ,750,312",453.6%,$,"3 ,636,007",-27.8%,$,"6 56,794",$,"9 09,159"
94572,100.8%,$,"1 2,821,129",29.1%,$,"6 ,384,374",-35.1%,$,"4 ,944,167",5.3%,$,"7 ,617,163",$,"7 ,236,034"
94582,282.1%,$,"6 3,900,614",0.0%,$,"1 6,723,264",-100.0%,$,-,-40.6%,$,"1 ,362,812",$,"2 ,295,756"
94583,187.8%,$,"3 04,400,300",100.3%,$,"1 05,773,816",50.9%,$,"5 2,801,910",162.8%,$,"3 4,989,462",$,"1 3,312,329"
94595,156.1%,$,"1 12,071,078",49.4%,$,"4 3,766,149",35.4%,$,"2 9,294,513",253.2%,$,"2 1,637,739",$,"6 ,126,604"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
94596,327.2%,$,"7 3,925,284",46.8%,$,"1 7,304,691",-5.3%,$,"1 1,784,865",80.3%,$,"1 2,444,263",$,"6 ,903,254"
