zip,expos_24,expos_23,expos_22,expos_21,expos_20
90212,101172323,38478689,33607525,22857458,15956924
90220,339594102,248402023,221895649,213313318,209101786
90221,414924075,319736000,292520534,292492116,287544227
90222,238530418,209866846,193031008,187818180,181928717
90230,48383291,30984637,27744952,23832971,23064481
90232,32387083,22813140,16066463,17336339,17765518
90240,147435565,71068726,61623225,61113426,60074374
90241,118440960,80295478,70080262,65974880,68056099
90242,106781765,80821665,69708416,70554184,68834409
90245,25292242,14936872,2595250,4013513,3785740
90247,117442056,102522797,77562350,78037546,73136518
90248,39431043,26498707,25401131,22324613,25891279
90249,65371737,47160704,37623594,37958704,40722171
90250,194114498,140022790,127465696,121179281,125679790
90254,48568392,11291595,9727877,9080750,8927453
90255,527641642,425953746,373807599,355605503,339379040
90260,67391533,50178269,47607594,45048545,45939948
90262,417857302,341409399,311247182,289513932,269245699
90265,5015319484,3931158397,3333174729,2538757472,1540429888
90266,80669435,39275157,28544099,21650679,18521171
90270,151563484,126083453,118090619,110280672,100993528
90272,3192861347,1470176225,1120456423,810829892,444637386
90274,282673939,152182537,77672161,59741194,48082263
90275,256313042,103596842,77393568,67164828,57709853
90277,47361049,20141506,15906220,14628735,12915639
90278,55632151,28461083,15195522,10226142,11878419
90280,588580735,446012372,411152732,376004882,349561651
90290,2591139501,2419275314,2145830711,1888148513,1509413953
90291,124085611,80697622,54842699,58891915,55897845
90292,41000695,9034393,9830999,9493921,8910599
90293,37955476,8342895,4136867,5101747,4665057
90301,174085637,138221356,115929816,108439416,103761172
90302,119747290,96787081,84976842,82348687,81297736
90303,145958009,98775078,84314884,82116242,75884187
90304,147667468,112515332,97134917,95227952,91844111
90305,77835608,57093108,56425411,53944847,54530782
90401,12412828,10533470,474000,1511667,2319271
90402,198190964,73881609,38660984,33565770,24496352
90403,49430481,22232778,22167745,23131800,12265503
90404,44023811,22457167,14407844,14554600,11168331
90405,65306673,53091105,26801805,26353230,24736626
90501,57943220,43597637,39539549,38628579,33107045
90502,30137398,21673106,20934494,11685734,12105929
90503,53013122,14588325,11642126,10489446,11304900
90504,25170318,13137459,8313069,10084147,12270332
90505,57525667,18202139,16523506,12697112,10673247
90601,312873689,213686372,161690744,137043741,128345471
90602,138657023,100577647,88696759,79691823,69968924
90603,65251483,35587152,26231079,26093086,18139528
90604,59000719,52533835,43727731,42488644,37092482
90605,168995428,145429503,130708017,125211027,113884343
90606,106530455,102727668,86298869,82036855,81351936
90620,57956775,22713594,9419550,11685559,15332057
90621,56258268,23956560,15277437,12998967,15292578
90623,30696989,5236042,3636120,3399982,3219715
90630,35340814,17136474,11858884,12104084,12014331
90631,552621420,344379417,263594104,222797824,149225159
90638,77923065,46359729,33566972,31015108,32473908
90640,237822153,163262253,138532971,133751423,128235255
90650,262049040,183116425,166993186,150962384,151626057
90660,216407497,194613764,163475495,168569070,157511612
90670,66474695,24384542,17422912,17354942,16884385
90680,15714000,6676604,5664554,4711616,2781828
90701,36447854,24392838,26646447,22848645,21536945
90703,83623632,35851544,24968579,28874686,30229863
90704,409697158,318355462,238268188,131088605,86452744
90706,141675787,101640003,90532425,88378713,84750232
90710,68000342,32145667,26270616,25920560,23369937
90712,51789055,25157483,15985670,17137763,19388722
90713,17345492,14230071,13535495,13747293,12032731
90715,40418423,33253872,25898454,27925795,26271315
90716,34114432,31861436,28766807,29151148,29636435
90717,34815519,25220842,24502709,20036491,21079376
90720,14442804,6204510,2493926,1858613,4535658
90723,151299583,111425982,98151155,90912015,87785626
90731,147346489,109335354,85464723,80676966,83841487
90732,33314473,13898535,12164976,12090337,14313759
90740,7244595,5436258,6754583,5824069,5323293
90742,9213350,3150000,3150000,3000000,3000000
90743,3438474,1041335,492748,0,0
90744,175534130,146228768,128658634,125963221,119547276
90745,114131213,72512963,62523359,62531063,65079306
90746,157891544,93702546,82604283,77362225,69804629
90755,31133245,14197971,10526044,9239555,11828539
90802,66431861,46203483,33416397,29018911,28108030
90803,62704003,23115561,19648767,12751679,11842262
90804,92188068,60056837,45272921,37391516,37136582
90805,258394242,204607082,179038901,168671554,176006861
90806,131899654,106877680,92588335,86831171,76092836
90807,76201983,35878476,33153051,30471787,29418673
90808,27404738,13326395,8650012,7918716,5969547
90810,101756837,80678525,73713216,71594599,69665414
90813,176711234,134149510,105104300,99179853,92660163
90814,54564569,34333005,17914759,17957962,22895474
90815,18373733,9129695,12784876,12564518,10458114
91001,949313983,645109130,504548851,452022247,419783494
91006,452049724,214103533,144971802,141721841,127507980
91007,219095320,100718295,68391805,59770756,52460351
91008,228084754,163126436,136561952,127764082,101807634
91010,200235309,97044714,77780274,72677341,75492375
91011,1426634112,717320317,532443724,441868116,379204704
91016,483827618,303196917,216960630,206439654,197719163
91020,67165410,24307518,16991885,12379523,10468189
91024,399994996,269595576,225174518,213428597,212230829
91030,218161884,125986597,88303998,81365708,80234357
91040,635109148,397688740,298335751,270752893,236930453
91042,839210690,581295711,439590395,404823008,383320186
91101,33806276,33302114,22235401,17442958,20327581
91103,358929888,285267355,224396088,183753770,162588578
91104,203319265,118591953,102525435,93282678,94451803
91105,430027350,338224145,252417854,175824806,127744763
91106,69545095,39136691,31071619,25083992,25891819
91107,572128745,288537715,225894490,215237884,182524395
91108,156670906,76953917,73817426,56385187,55784795
91201,185292421,85404863,64598533,61898358,61351010
91202,341372456,170947163,133094868,116955839,110645425
91203,43369105,17293942,11647504,12852531,12828479
91204,38837124,26483025,20495564,18477300,18953687
91205,88816571,62609704,49097675,41707842,43121881
91206,825964488,663978385,542500476,484449050,436821489
91207,430796309,208870535,166138226,135073812,118117640
91208,958149798,542700181,412768921,364202871,358886767
91214,733289259,336354685,219700162,178462705,184259839
91301,1945171244,992195002,717378857,568116970,372177916
91302,3896822143,1920395378,1455381382,1141302351,765894346
91303,56158913,40026942,33799573,31792401,27481367
91304,683198469,321657917,244424184,207776401,167572234
91306,172837691,103594479,81631199,73704995,73205791
91307,1011010596,620010512,460884435,263268467,207705718
91311,804150288,363126401,275693990,226432539,171495218
91316,949872424,318610417,224769967,179104612,97111838
91320,963926369,313367369,176241353,125410670,91196679
91321,875296960,387561966,234381740,174744201,123051253
91324,97683092,57715187,39507045,39281333,38397204
91325,157683055,94750680,78024880,63991556,51797227
91326,899561125,344454597,165960427,146883714,110721602
91330,0,0,0,0,570000
91331,544825145,408488583,344751011,316539046,312065174
91335,293847162,193393025,157900985,145729799,142838017
91340,219373244,142993263,117361249,110557325,110174581
91342,1174602115,723219729,492907728,434394906,361974107
91343,205509650,148682522,109426916,101607735,95760246
91344,591958947,298248152,233781601,198352985,190330674
91345,101097420,57402644,45229334,43142609,43235744
