ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
92394,136159519,40511667,26548273,24253053,25611099,205,79,62,63,71
92395,143765996,46982006,38008592,33147408,24953876,235,103,97,100,93
92397,971102085,835949704,618004107,394343252,272546858,1572,1431,1140,820,637
92398,4502630,1551599,745139,826669,581959,13,6,4,5,4
92399,1703650891,1115592227,771431056,517101401,354481559,1861,1271,958,719,533
92401,19858097,16311690,5829947,5451153,4469886,9,11,14,13,15
92404,443976073,231986003,134440967,130477100,112930427,631,423,311,337,332
92405,184403227,99126856,81703171,69998267,71893340,348,241,226,230,247
92407,793117323,401105277,268596091,229085404,192435182,1107,685,538,517,483
92408,55021676,21196346,17947763,18038247,18482814,98,64,67,72,76
92410,178503460,107454814,96853200,95662096,87354849,396,296,292,319,325
92411,109330563,72379517,66537535,58859838,57543876,242,206,205,214,223
92501,89678697,36961263,19170964,15486641,11335285,68,43,28,30,29
92503,836363998,268361924,145029952,111474280,68142097,850,324,208,181,141
92504,300734424,98324131,54398791,37862506,28161674,327,126,84,75,69
92505,173669174,54973390,24578783,23158668,19701798,250,89,50,51,51
92506,486545008,116171458,52964488,34652626,24677092,385,103,58,42,38
92507,357716665,131163293,57136340,39992997,27941224,404,150,77,82,76
92508,226212535,46564816,16630788,11041395,12596583,218,56,25,23,26
92509,388695616,165304271,120117905,86360231,71484583,588,298,242,215,201
92518,3911960,618750,0,3016200,0,1,1,0,0,0
92530,1240394157,613266351,357621602,248994461,166280921,1625,907,601,464,356
92532,774488115,310499818,181454461,137059434,61925307,839,379,242,196,110
92536,275428356,185511328,145827750,94381178,56113248,500,328,270,185,119
92539,281833762,200296602,157407389,104286536,66757901,630,476,384,297,208
92543,203137998,62629979,38735574,29923288,25953522,359,125,85,76,64
92544,797011850,417838900,285464249,212997968,150569789,1091,595,435,372,291
92545,376600734,126861607,76696625,61495606,33682747,607,222,155,134,87
92548,153153995,63985673,43125854,31160036,15886175,328,158,115,88,55
92549,1907346296,1716710214,1468735368,1060622067,824159780,2548,2487,2348,1917,1588
92551,165719221,41321669,25783272,25311200,24917322,220,74,57,63,66
92553,261344986,74732606,57285924,44550156,38451451,363,153,117,122,117
92555,686081217,189320930,84142503,61560699,47825950,717,238,131,107,94
92557,575791335,215553102,109167111,75790337,52571951,690,288,174,139,114
92561,387229144,261115501,192901152,127152367,86661379,354,264,213,154,107
92562,2503034190,1559088627,1047010595,666822304,401808929,1789,1098,773,555,388
92563,603029153,167851046,82735456,66194962,36729131,606,191,111,93,56
92567,182129595,89762877,54481884,37701279,18724321,303,165,119,85,51
92570,1188639416,608983599,375937477,234130719,147368301,1940,1077,723,548,407
